BESTELLIDENT;TARGET_BETRUG;B_EMAIL;B_TELEFON;B_GEBDATUM;FLAG_LRIDENTISCH;FLAG_NEWSLETTER;Z_METHODE;Z_CARD_ART;Z_CARD_VALID;Z_LAST_NAME;WERT_BEST;TAG_BEST;TIME_BEST;ANZ_BEST;ANUMMER_01;ANUMMER_02;ANUMMER_03;ANUMMER_04;ANUMMER_05;ANUMMER_06;ANUMMER_07;ANUMMER_08;ANUMMER_09;ANUMMER_10;CHK_LADR;CHK_RADR;CHK_KTO;CHK_CARD;CHK_COOKIE;CHK_IP;FAIL_LPLZ;FAIL_LORT;FAIL_LPLZORTMATCH;FAIL_RPLZ;FAIL_RORT;FAIL_RPLZORTMATCH;SESSION_TIME;NEUKUNDE;ANZ_BEST_GES;WERT_BEST_GES;DATUM_LBEST;MAHN_AKT;MAHN_HOECHST
39995;nein;nein;nein;1975-07-20 00:00:00.000;ja;nein;Rechnung;;08.2007;;42,8;Do;1899-12-30 13:18:00.000;1;409782;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;8;ja;0;0;1899-12-30 00:00:00.000;0;0
39996;ja;ja;nein;1977-08-24 00:00:00.000;ja;nein;Kreditkarte;Eurocard;08.2006;ja;37;Mi;1899-12-30 15:20:00.000;1;403533;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;1;ja;0;0;1899-12-30 00:00:00.000;0;0
39997;ja;ja;nein;1899-12-30 00:00:00.000;ja;nein;Rechnung;;02.2005;;9,99;Sa;1899-12-30 18:44:00.000;1;606310;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;16;nein;3;218,58;2003-02-13 00:00:00.000;0;0
40000;nein;nein;nein;1956-12-19 00:00:00.000;ja;nein;Rechnung;;05.2007;;47,8;Sa;1899-12-30 13:28:00.000;2;206685;405485;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;7;ja;0;0;1899-12-30 00:00:00.000;0;0
40002;nein;ja;ja;1899-12-30 00:00:00.000;ja;nein;Lastschrift;;04.2007;ja;111,44;Sa;1899-12-30 15:04:00.000;4;200214;407703;404242;101856;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;12;ja;0;0;1899-12-30 00:00:00.000;0;0
40003;nein;nein;nein;1974-07-18 00:00:00.000;ja;nein;Rechnung;;08.2007;;17,8;Mo;1899-12-30 05:43:00.000;1;509006;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;6;ja;0;0;1899-12-30 00:00:00.000;0;0
40004;nein;ja;nein;1899-12-30 00:00:00.000;ja;nein;Rechnung;;08.2007;;46,4;So;1899-12-30 12:12:00.000;3;506858;402243;202089;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;8;nein;1;137,3;2003-07-01 00:00:00.000;0;0
40005;nein;ja;nein;1971-01-31 00:00:00.000;ja;nein;Rechnung;;03.2005;;55,4;Mo;1899-12-30 22:44:00.000;2;400450;304258;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;ja;nein;nein;nein;9;ja;0;0;1899-12-30 00:00:00.000;0;0
40006;nein;ja;nein;1979-01-26 00:00:00.000;ja;ja;Rechnung;;12.2005;;60,6;Di;1899-12-30 11:36:00.000;2;307317;406120;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;8;nein;1;104,48;2001-02-23 00:00:00.000;0;0
40009;nein;ja;nein;1982-04-09 00:00:00.000;ja;nein;Rechnung;;10.2007;;12,6;So;1899-12-30 21:35:00.000;1;204522;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;10;ja;0;0;1899-12-30 00:00:00.000;0;0
40010;nein;nein;nein;1985-05-29 00:00:00.000;ja;nein;Rechnung;;07.2006;;14,5;So;1899-12-30 13:08:00.000;1;509102;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;12;nein;2;47,06;2003-08-23 00:00:00.000;0;0
40011;nein;ja;nein;1981-10-16 00:00:00.000;nein;nein;Lastschrift;;03.2005;ja;29,5;Di;1899-12-30 12:51:00.000;1;404645;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;4;nein;1;20,52;2004-01-22 00:00:00.000;0;0
40013;nein;ja;nein;1972-11-08 00:00:00.000;ja;nein;Rechnung;;10.2006;;12,8;Mi;1899-12-30 17:04:00.000;1;200953;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;8;ja;0;0;1899-12-30 00:00:00.000;0;0
40015;nein;nein;nein;1972-10-12 00:00:00.000;ja;nein;Kundenkarte;Kundenkarte;06.2007;ja;14,5;So;1899-12-30 16:18:00.000;1;304077;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;6;nein;1;57,75;2004-12-29 00:00:00.000;0;0
40016;nein;ja;nein;1958-10-28 00:00:00.000;ja;nein;Rechnung;;04.2006;;19,99;So;1899-12-30 11:45:00.000;1;409200;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;11;nein;1;30,62;2004-03-14 00:00:00.000;0;1
40017;nein;ja;nein;1899-12-30 00:00:00.000;ja;ja;Rechnung;;12.2007;;18;Fr;1899-12-30 08:28:00.000;1;407223;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;5;ja;0;0;1899-12-30 00:00:00.000;0;0
40019;nein;ja;nein;1899-12-30 00:00:00.000;ja;nein;Rechnung;;11.2007;;12,6;So;1899-12-30 18:48:00.000;1;402845;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;16;nein;2;37,34;2005-01-09 00:00:00.000;0;1
40022;nein;ja;nein;1962-05-08 00:00:00.000;nein;nein;Kreditkarte;Amex;10.2005;ja;16;Sa;1899-12-30 05:42:00.000;1;407156;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;8;ja;0;0;1899-12-30 00:00:00.000;0;0
40023;nein;ja;nein;1954-01-24 00:00:00.000;nein;nein;Lastschrift;;07.2005;ja;42,8;Mi;1899-12-30 19:11:00.000;1;307317;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;18;nein;2;68,08;2003-01-13 00:00:00.000;0;0
40024;nein;ja;nein;1983-01-07 00:00:00.000;ja;nein;Kreditkarte;Visa;04.2005;ja;8,5;Mo;1899-12-30 15:39:00.000;1;401402;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;13;ja;0;0;1899-12-30 00:00:00.000;0;0
40025;nein;ja;ja;1965-01-07 00:00:00.000;ja;nein;Rechnung;;04.2006;;17,5;Fr;1899-12-30 20:10:00.000;1;506398;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;11;ja;0;0;1899-12-30 00:00:00.000;0;0
40026;nein;ja;nein;1962-02-07 00:00:00.000;nein;nein;Kreditkarte;Eurocard;12.2005;ja;68,4;Do;1899-12-30 22:22:00.000;1;405965;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;7;nein;2;17,92;2001-04-18 00:00:00.000;0;0
40027;nein;ja;nein;1982-12-21 00:00:00.000;ja;nein;Rechnung;;07.2007;;68,4;So;1899-12-30 20:24:00.000;1;505685;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;8;nein;1;54,53;2002-10-25 00:00:00.000;0;0
40028;nein;ja;nein;1970-01-20 00:00:00.000;ja;nein;Rechnung;;08.2007;;10,8;So;1899-12-30 16:41:00.000;1;302133;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;4;ja;0;0;1899-12-30 00:00:00.000;0;0
40029;nein;ja;nein;1899-12-30 00:00:00.000;ja;nein;Rechnung;;05.2006;;17,5;Do;1899-12-30 02:04:00.000;1;103136;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;5;nein;1;37,52;2003-11-12 00:00:00.000;0;0
40030;nein;ja;ja;1965-11-27 00:00:00.000;ja;nein;Kundenkarte;Kundenkarte;07.2006;ja;37,3;Di;1899-12-30 12:15:00.000;3;406203;409386;201619;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;10;nein;0;0;1899-12-30 00:00:00.000;0;0
40032;nein;ja;nein;1981-09-20 00:00:00.000;ja;nein;Rechnung;;01.2006;;22,4;Di;1899-12-30 16:58:00.000;2;204522;507359;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;1;nein;1;6,72;2002-12-21 00:00:00.000;0;0
40034;nein;nein;nein;1962-11-16 00:00:00.000;ja;nein;Rechnung;;04.2007;;68,4;Mo;1899-12-30 19:48:00.000;1;503136;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;ja;nein;nein;7;nein;1;53,15;2002-07-28 00:00:00.000;0;0
40035;nein;ja;nein;1899-12-30 00:00:00.000;nein;nein;Kreditkarte;Visa;09.2005;ja;34,5;Fr;1899-12-30 11:58:00.000;1;101856;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;12;ja;0;0;1899-12-30 00:00:00.000;0;0
40040;nein;ja;nein;1970-08-25 00:00:00.000;ja;nein;Rechnung;;05.2007;;54,5;Mo;1899-12-30 22:44:00.000;1;406959;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;1;ja;0;0;1899-12-30 00:00:00.000;0;0
40042;nein;ja;nein;1899-12-30 00:00:00.000;ja;nein;Rechnung;;01.2005;;12,6;Fr;1899-12-30 15:42:00.000;1;304258;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;9;ja;0;0;1899-12-30 00:00:00.000;0;0
40043;nein;ja;nein;1967-09-22 00:00:00.000;nein;nein;Kreditkarte;Visa;01.2007;ja;54,5;Mi;1899-12-30 03:13:00.000;1;207610;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;7;ja;0;0;1899-12-30 00:00:00.000;0;0
40044;nein;ja;nein;1962-06-02 00:00:00.000;ja;nein;Rechnung;;09.2006;;18;Sa;1899-12-30 11:42:00.000;1;204723;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;9;nein;1;65,05;2001-04-17 00:00:00.000;0;0
40046;nein;nein;nein;1967-05-09 00:00:00.000;nein;nein;Kreditkarte;Visa;01.2005;ja;34,5;Mo;1899-12-30 16:59:00.000;1;108397;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;3;nein;2;66,64;2004-09-02 00:00:00.000;0;0
40048;nein;ja;nein;1986-03-17 00:00:00.000;ja;nein;Lastschrift;;08.2005;ja;64,5;Sa;1899-12-30 07:29:00.000;1;401648;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;17;nein;2;127,54;2003-09-04 00:00:00.000;0;0
40049;nein;ja;nein;1961-10-26 00:00:00.000;ja;nein;Rechnung;;02.2005;;16;Fr;1899-12-30 09:55:00.000;1;407156;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;9;ja;0;0;1899-12-30 00:00:00.000;0;0
40050;nein;ja;nein;1974-04-30 00:00:00.000;ja;nein;Rechnung;;11.2006;;34,5;Do;1899-12-30 16:30:00.000;1;101856;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;8;ja;0;0;1899-12-30 00:00:00.000;0;0
40051;nein;ja;ja;1966-08-11 00:00:00.000;nein;nein;Kreditkarte;Eurocard;08.2006;ja;57,49;Do;1899-12-30 08:17:00.000;2;107610;303397;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;8;ja;0;0;1899-12-30 00:00:00.000;0;0
40053;nein;ja;nein;1981-08-10 00:00:00.000;ja;ja;Rechnung;;05.2006;;41;Di;1899-12-30 22:28:00.000;1;403378;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;5;ja;0;0;1899-12-30 00:00:00.000;0;0
40054;nein;ja;nein;1963-03-03 00:00:00.000;ja;nein;Rechnung;;11.2006;;5,2;Mo;1899-12-30 10:44:00.000;1;604485;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;9;ja;0;0;1899-12-30 00:00:00.000;0;0
40056;nein;ja;nein;1966-10-15 00:00:00.000;ja;nein;Rechnung;;06.2006;;51;So;1899-12-30 09:27:00.000;3;102611;204258;204553;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;3;nein;1;14,31;2003-08-14 00:00:00.000;0;0
40058;nein;ja;nein;1966-05-03 00:00:00.000;nein;nein;Kreditkarte;Visa;09.2007;ja;12,6;Mo;1899-12-30 16:32:00.000;1;505580;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;8;ja;0;0;1899-12-30 00:00:00.000;0;0
40059;nein;ja;nein;1899-12-30 00:00:00.000;ja;nein;Rechnung;;10.2007;;46,5;Do;1899-12-30 18:38:00.000;1;202123;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;ja;nein;5;nein;1;50,13;2002-10-06 00:00:00.000;0;0
40063;nein;ja;ja;1983-10-11 00:00:00.000;nein;nein;Lastschrift;;03.2005;ja;68,4;Mo;1899-12-30 03:03:00.000;1;404553;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;9;ja;0;0;1899-12-30 00:00:00.000;0;0
40064;nein;ja;nein;1969-03-06 00:00:00.000;ja;nein;Lastschrift;;01.2006;ja;29,99;Do;1899-12-30 21:46:00.000;1;606858;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;7;nein;1;40,42;2001-01-08 00:00:00.000;0;0
40065;nein;nein;nein;1966-06-19 00:00:00.000;nein;nein;Kreditkarte;Visa;06.2006;ja;152,89;Mi;1899-12-30 15:21:00.000;3;308997;104485;407344;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;7;nein;1;6,8;2001-07-02 00:00:00.000;0;0
40067;nein;ja;ja;1981-02-12 00:00:00.000;nein;nein;Lastschrift;;09.2006;ja;42,8;Mo;1899-12-30 07:20:00.000;1;400061;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;7;ja;0;0;1899-12-30 00:00:00.000;0;0
40068;nein;ja;nein;1970-01-09 00:00:00.000;ja;nein;Lastschrift;;06.2005;ja;76,1;Sa;1899-12-30 11:08:00.000;3;601893;202634;409662;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;5;ja;0;0;1899-12-30 00:00:00.000;0;0
40069;nein;ja;nein;1967-11-12 00:00:00.000;ja;nein;Rechnung;;01.2006;;29,5;Do;1899-12-30 06:51:00.000;1;404645;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;14;ja;0;0;1899-12-30 00:00:00.000;0;0
40070;nein;nein;nein;1981-02-16 00:00:00.000;nein;nein;Lastschrift;;10.2006;ja;18,5;Mi;1899-12-30 15:51:00.000;1;504258;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;13;nein;1;34,76;2003-11-08 00:00:00.000;0;1
40071;nein;ja;nein;1971-02-12 00:00:00.000;ja;nein;Rechnung;;06.2005;;32,8;Fr;1899-12-30 14:41:00.000;1;507046;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;15;nein;1;12,34;2003-11-15 00:00:00.000;0;0
40074;nein;nein;nein;1978-04-26 00:00:00.000;nein;nein;Kreditkarte;Visa;04.2005;ja;10,8;So;1899-12-30 12:17:00.000;1;402440;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;16;ja;0;0;1899-12-30 00:00:00.000;0;0
40075;nein;nein;nein;1983-08-05 00:00:00.000;ja;nein;Lastschrift;;03.2005;nein;23,5;Mo;1899-12-30 21:43:00.000;1;202611;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;9;ja;0;0;1899-12-30 00:00:00.000;0;0
40077;nein;ja;nein;1977-10-05 00:00:00.000;nein;nein;Lastschrift;;04.2007;ja;89,3;Mi;1899-12-30 06:23:00.000;2;100959;100147;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;9;ja;0;0;1899-12-30 00:00:00.000;0;0
40078;nein;ja;nein;1961-10-09 00:00:00.000;ja;nein;Kreditkarte;Visa;02.2006;ja;66,3;Mi;1899-12-30 15:25:00.000;2;508997;106821;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;15;ja;0;0;1899-12-30 00:00:00.000;0;0
40079;ja;nein;nein;1981-03-05 00:00:00.000;ja;nein;Rechnung;;03.2006;;12,6;So;1899-12-30 18:36:00.000;1;402845;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;1;ja;0;0;1899-12-30 00:00:00.000;0;0
40081;nein;ja;nein;1967-04-05 00:00:00.000;ja;nein;Rechnung;;06.2005;;16;Fr;1899-12-30 23:51:00.000;1;607699;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;6;ja;0;0;1899-12-30 00:00:00.000;0;0
40083;nein;ja;nein;1975-09-03 00:00:00.000;nein;nein;Lastschrift;;03.2007;ja;227,29;Mi;1899-12-30 22:04:00.000;7;204765;201893;203397;609121;407934;407344;409101;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;6;ja;0;0;1899-12-30 00:00:00.000;0;0
40086;nein;ja;nein;1899-12-30 00:00:00.000;ja;nein;Lastschrift;;04.2007;ja;86,1;So;1899-12-30 10:08:00.000;4;200124;603367;201856;603639;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;10;ja;0;0;1899-12-30 00:00:00.000;0;0
40088;nein;ja;ja;1961-05-16 00:00:00.000;ja;nein;Kreditkarte;Eurocard;12.2007;ja;64,7;Sa;1899-12-30 16:45:00.000;2;202123;106590;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;6;ja;0;0;1899-12-30 00:00:00.000;0;0
40091;nein;ja;nein;1962-07-26 00:00:00.000;ja;nein;Rechnung;;02.2007;;9,8;So;1899-12-30 14:03:00.000;1;502496;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;6;ja;0;0;1899-12-30 00:00:00.000;0;0
40092;nein;nein;ja;1985-03-03 00:00:00.000;nein;nein;Kundenkarte;Kundenkarte;09.2006;ja;12,8;Fr;1899-12-30 21:58:00.000;1;402399;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;13;nein;0;0;1899-12-30 00:00:00.000;0;0
40093;nein;ja;nein;1961-05-09 00:00:00.000;nein;nein;Kreditkarte;Visa;10.2007;ja;56;Sa;1899-12-30 04:16:00.000;1;506520;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;7;ja;0;0;1899-12-30 00:00:00.000;0;0
40097;nein;ja;nein;1975-05-28 00:00:00.000;ja;nein;Rechnung;;03.2006;;42,8;Di;1899-12-30 20:13:00.000;1;402634;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;10;ja;0;0;1899-12-30 00:00:00.000;0;0
